,goleador_local,goleador_visitante,equipo_local,equipo_visitante
114,['A. Solari'],[],Sarmiento,Arsenal de Sarandí
115,[],['C. Pereyra'],Sarmiento,Arsenal de Sarandí
116,[],['C. Bieler'],Sarmiento,Arsenal de Sarandí
118,['E. Mas'],[],Sarmiento,Arsenal de Sarandí
119,[],['E. Mas'],Sarmiento,Arsenal de Sarandí
120,['Matias Quiroga'],[],Sarmiento,Arsenal de Sarandí
121,['D. Benedetto'],[],Sarmiento,Arsenal de Sarandí
122,[],['H. Da Campo'],Sarmiento,Arsenal de Sarandí
124,['R. Centurión'],[],Sarmiento,Arsenal de Sarandí
126,['T. Pochettino'],[],Sarmiento,Arsenal de Sarandí
127,['M. Bareiro'],[],Sarmiento,Arsenal de Sarandí
128,[],['S. Driussi'],Sarmiento,Arsenal de Sarandí
129,['A. Barboza'],[],Sarmiento,Arsenal de Sarandí
131,['A. Rios'],[],Sarmiento,Arsenal de Sarandí
132,[],['Pity Martínez'],Sarmiento,Arsenal de Sarandí
133,[],['N. Ibáñez'],Sarmiento,Arsenal de Sarandí
135,['J. Boghossian'],[],Sarmiento,Arsenal de Sarandí
136,['L. Vella'],[],Sarmiento,Arsenal de Sarandí
137,['M. Giménez'],[],Sarmiento,Arsenal de Sarandí
138,['N. Benegas'],[],Sarmiento,Arsenal de Sarandí
139,[],['C. Rodríguez'],Sarmiento,Arsenal de Sarandí
140,['H. Da Campo'],[],Sarmiento,Arsenal de Sarandí
141,['S. Garcia'],[],Sarmiento,Arsenal de Sarandí
142,['J. Ayoví'],[],Sarmiento,Arsenal de Sarandí
143,[],['D. Godoy'],Sarmiento,Arsenal de Sarandí
144,['Marco Ruben'],[],Sarmiento,Arsenal de Sarandí
145,[],['J. Bottinelli'],Sarmiento,Arsenal de Sarandí
147,['José Luis Fernández'],[],Sarmiento,Arsenal de Sarandí
150,[],['G. Bazán'],Sarmiento,Arsenal de Sarandí
153,[],['L. Gil'],Sarmiento,Arsenal de Sarandí
154,['L. López'],[],Sarmiento,Arsenal de Sarandí
155,['S. Rosales'],[],Sarmiento,Arsenal de Sarandí
156,[],['B. Cáceres'],Sarmiento,Arsenal de Sarandí
162,[],['G. Gudiño'],Sarmiento,Arsenal de Sarandí
