,goleador_local,goleador_visitante,equipo_local,equipo_visitante
723,['H. Canteros'],[],Sarmiento,Arsenal de Sarandí
725,['Maxi Romero'],[],Sarmiento,Arsenal de Sarandí
730,[],['S. Peralta'],Sarmiento,Arsenal de Sarandí
736,[],['Juan Brunetta'],Sarmiento,Arsenal de Sarandí
738,['N. Briasco'],[],Sarmiento,Arsenal de Sarandí
741,['G. Farré'],[],Sarmiento,Arsenal de Sarandí
742,[],['A. Martino'],Sarmiento,Arsenal de Sarandí
743,['E. Gigliotti'],[],Sarmiento,Arsenal de Sarandí
744,[],['D. Zabala'],Sarmiento,Arsenal de Sarandí
747,['M. Astina'],[],Sarmiento,Arsenal de Sarandí
748,[],['D. Cvitanich'],Sarmiento,Arsenal de Sarandí
750,['F. Angileri'],[],Sarmiento,Arsenal de Sarandí
752,[],['C. Matheu'],Sarmiento,Arsenal de Sarandí
756,[],['D. Arce'],Sarmiento,Arsenal de Sarandí
761,[],['J. Rivero'],Sarmiento,Arsenal de Sarandí
767,[],['L. Di Lorenzo'],Sarmiento,Arsenal de Sarandí
770,[],['V. Figueroa'],Sarmiento,Arsenal de Sarandí
773,['M. Barbieri'],[],Sarmiento,Arsenal de Sarandí
776,['M. Torsiglieri'],[],Sarmiento,Arsenal de Sarandí
778,['B. Sarmiento'],[],Sarmiento,Arsenal de Sarandí
779,[],['G. Ramírez'],Sarmiento,Arsenal de Sarandí
781,[],['M. Escobar'],Sarmiento,Arsenal de Sarandí
783,['A. Bouzat'],[],Sarmiento,Arsenal de Sarandí
786,['J. Martínez'],[],Sarmiento,Arsenal de Sarandí
791,['G. Herrera'],[],Sarmiento,Arsenal de Sarandí
792,['M. Aguirregaray'],[],Sarmiento,Arsenal de Sarandí
793,[],['M. González'],Sarmiento,Arsenal de Sarandí
794,['G. Villarruel'],[],Sarmiento,Arsenal de Sarandí
795,['J. Molina'],[],Sarmiento,Arsenal de Sarandí
796,[],['F. Márquez'],Sarmiento,Arsenal de Sarandí
797,['M. Lugo'],[],Sarmiento,Arsenal de Sarandí
799,[],['L. Pérez Godoy'],Sarmiento,Arsenal de Sarandí
802,[],['Nicolás Figal'],Sarmiento,Arsenal de Sarandí
805,[],['R. Cabalucci'],Sarmiento,Arsenal de Sarandí
807,[],['F. Troyansky'],Sarmiento,Arsenal de Sarandí
812,['L. Ceballos'],[],Sarmiento,Arsenal de Sarandí
813,[],['Ramón Miérez'],Sarmiento,Arsenal de Sarandí
814,['N. Leguizamón'],[],Sarmiento,Arsenal de Sarandí
815,['M. Orihuela'],[],Sarmiento,Arsenal de Sarandí
817,['M. Benítez'],[],Sarmiento,Arsenal de Sarandí
818,[],['F. Sánchez'],Sarmiento,Arsenal de Sarandí
821,[],['J. Mercier'],Sarmiento,Arsenal de Sarandí
824,[],['F. Pereyra'],Sarmiento,Arsenal de Sarandí
830,['L. Di Lorenzo'],[],Sarmiento,Arsenal de Sarandí
834,['F. Bordagaray'],[],Sarmiento,Arsenal de Sarandí
837,['G. Maroni'],[],Sarmiento,Arsenal de Sarandí
838,[],['F. Luna'],Sarmiento,Arsenal de Sarandí
840,[],['T. Paredes'],Sarmiento,Arsenal de Sarandí
843,[],['A. Barboza'],Sarmiento,Arsenal de Sarandí
844,['H. Toledo'],[],Sarmiento,Arsenal de Sarandí
846,[],['J. Moreira'],Sarmiento,Arsenal de Sarandí
847,['I. Canuto'],[],Sarmiento,Arsenal de Sarandí
850,[],['A. Cardozo'],Sarmiento,Arsenal de Sarandí
851,[],['E. Ellacópulos'],Sarmiento,Arsenal de Sarandí
857,['R. Costa'],[],Sarmiento,Arsenal de Sarandí
860,[],['C. Chimino'],Sarmiento,Arsenal de Sarandí
863,['C. Mayada'],[],Sarmiento,Arsenal de Sarandí
867,[],['J. Garro'],Sarmiento,Arsenal de Sarandí
869,['M. Caruzzo'],[],Sarmiento,Arsenal de Sarandí
871,[],['F. Bustos'],Sarmiento,Arsenal de Sarandí
880,[],['D. Barbona'],Sarmiento,Arsenal de Sarandí
881,['I. Torres'],[],Sarmiento,Arsenal de Sarandí
885,[],['F. Lértora'],Sarmiento,Arsenal de Sarandí
888,['M. Curado'],[],Sarmiento,Arsenal de Sarandí
895,['E. Rescaldani'],[],Sarmiento,Arsenal de Sarandí
899,[],['B. Bianchi'],Sarmiento,Arsenal de Sarandí
901,[],['M. Angeleri'],Sarmiento,Arsenal de Sarandí
908,[],['J. Leguizamón'],Sarmiento,Arsenal de Sarandí
913,['F. Gago'],[],Sarmiento,Arsenal de Sarandí
916,['M. Meza'],[],Sarmiento,Arsenal de Sarandí
917,['I. Furios'],[],Sarmiento,Arsenal de Sarandí
918,[],['J. Vivani'],Sarmiento,Arsenal de Sarandí
921,['F. Milo'],[],Sarmiento,Arsenal de Sarandí
922,[],['G. Escobar'],Sarmiento,Arsenal de Sarandí
925,[],['F. Ilarregui'],Sarmiento,Arsenal de Sarandí
931,['L. González'],[],Sarmiento,Arsenal de Sarandí
933,[],['Matias Quiroga'],Sarmiento,Arsenal de Sarandí
940,[],['E. Rescaldani'],Sarmiento,Arsenal de Sarandí
943,['B. Fernández'],[],Sarmiento,Arsenal de Sarandí
945,[],['J. Mansilla'],Sarmiento,Arsenal de Sarandí
946,['L. Menossi'],[],Sarmiento,Arsenal de Sarandí
949,[],['L. Rolón'],Sarmiento,Arsenal de Sarandí
953,['J. Garro'],[],Sarmiento,Arsenal de Sarandí
954,[],['F. Grillo'],Sarmiento,Arsenal de Sarandí
957,[],['M. Pavone'],Sarmiento,Arsenal de Sarandí
959,['S. Peralta'],[],Sarmiento,Arsenal de Sarandí
960,['A. Zárate'],[],Sarmiento,Arsenal de Sarandí
961,['L. Mancinelli'],[],Sarmiento,Arsenal de Sarandí
966,['E. Burgos'],[],Sarmiento,Arsenal de Sarandí
972,[],['J. Schunke'],Sarmiento,Arsenal de Sarandí
982,[],['M. Guevgeozián'],Sarmiento,Arsenal de Sarandí
983,['C. Villagra'],[],Sarmiento,Arsenal de Sarandí
984,['H. Fértoli'],[],Sarmiento,Arsenal de Sarandí
985,[],['F. Coniglio'],Sarmiento,Arsenal de Sarandí
988,[],['N. Pantaleone'],Sarmiento,Arsenal de Sarandí
990,['Kaku'],[],Sarmiento,Arsenal de Sarandí
991,['N. Pelaitay'],[],Sarmiento,Arsenal de Sarandí
992,['M. Casierra'],[],Sarmiento,Arsenal de Sarandí
994,[],['B. Fernández'],Sarmiento,Arsenal de Sarandí
996,['N. Maná'],[],Sarmiento,Arsenal de Sarandí
997,[],['G. Rojas'],Sarmiento,Arsenal de Sarandí
1001,[],['D. Sosa'],Sarmiento,Arsenal de Sarandí
1007,['L. Gil'],[],Sarmiento,Arsenal de Sarandí
1010,[],['M. Barbieri'],Sarmiento,Arsenal de Sarandí
1015,[],['M. Benítez'],Sarmiento,Arsenal de Sarandí
1020,[],['S. Paz'],Sarmiento,Arsenal de Sarandí
1022,[],['Matías Vargas'],Sarmiento,Arsenal de Sarandí
1027,['N. Acevedo'],[],Sarmiento,Arsenal de Sarandí
1029,['N. Fernández'],[],Sarmiento,Arsenal de Sarandí
1030,['R. Erramuspe'],[],Sarmiento,Arsenal de Sarandí
1031,['M. Sánchez'],[],Sarmiento,Arsenal de Sarandí
1032,[],['Santiago Ascacíbar'],Sarmiento,Arsenal de Sarandí
1036,[],['R. Civelli'],Sarmiento,Arsenal de Sarandí
1037,['M. Romero'],[],Sarmiento,Arsenal de Sarandí
1041,[],['F. Milo'],Sarmiento,Arsenal de Sarandí
1042,[],['I. Pussetto'],Sarmiento,Arsenal de Sarandí
1046,['L. Villarruel'],[],Sarmiento,Arsenal de Sarandí
1047,[],['F. Barcelo'],Sarmiento,Arsenal de Sarandí
1054,[],['M. Maydana'],Sarmiento,Arsenal de Sarandí
1055,['F. Coria'],[],Sarmiento,Arsenal de Sarandí
1061,['C. Rodriguez'],[],Sarmiento,Arsenal de Sarandí
1062,[],['F. Mussis'],Sarmiento,Arsenal de Sarandí
1065,[],['M. Romero'],Sarmiento,Arsenal de Sarandí
1066,['L. Godoy'],[],Sarmiento,Arsenal de Sarandí
1067,[],['J. Pinola'],Sarmiento,Arsenal de Sarandí
1074,['J. Sánchez Sotelo'],[],Sarmiento,Arsenal de Sarandí
1080,['D. Montiel'],[],Sarmiento,Arsenal de Sarandí
1083,[],['F. Gago'],Sarmiento,Arsenal de Sarandí
1084,['F. Canever'],[],Sarmiento,Arsenal de Sarandí
1085,[],['Jonathan Silva'],Sarmiento,Arsenal de Sarandí
1087,['N. Delgadillo'],[],Sarmiento,Arsenal de Sarandí
1089,[],['A. Scifo'],Sarmiento,Arsenal de Sarandí
1093,[],['D. Braghieri'],Sarmiento,Arsenal de Sarandí
1094,[],['L. Menossi'],Sarmiento,Arsenal de Sarandí
1096,['L. Albertengo'],[],Sarmiento,Arsenal de Sarandí
1104,['M. Larrondo'],[],Sarmiento,Arsenal de Sarandí
1105,['J. Maidana'],[],Sarmiento,Arsenal de Sarandí
1112,['M. Martínez'],[],Sarmiento,Arsenal de Sarandí
1116,['J. Leguizamón'],[],Sarmiento,Arsenal de Sarandí
1120,['M. Acuña'],[],Sarmiento,Arsenal de Sarandí
1122,[],['A. Bouzat'],Sarmiento,Arsenal de Sarandí
1126,['M. Zaracho'],[],Sarmiento,Arsenal de Sarandí
1129,['Lisandro Magallan'],[],Sarmiento,Arsenal de Sarandí
1131,['Martínez Quarta'],[],Sarmiento,Arsenal de Sarandí
1132,['Matías Suárez'],[],Sarmiento,Arsenal de Sarandí
1134,[],['N. Moiraghi'],Sarmiento,Arsenal de Sarandí
1136,[],['S. Bertoli'],Sarmiento,Arsenal de Sarandí
1137,['R. Spinacci'],[],Sarmiento,Arsenal de Sarandí
1138,['F. Dutari'],[],Sarmiento,Arsenal de Sarandí
1142,['M. Moreno'],[],Sarmiento,Arsenal de Sarandí
1157,[],['B. Blasi'],Sarmiento,Arsenal de Sarandí
1158,[],['P. Vidal'],Sarmiento,Arsenal de Sarandí
1159,['F. Soloa'],[],Sarmiento,Arsenal de Sarandí
1160,[],['N. Rinaldi'],Sarmiento,Arsenal de Sarandí
1161,['A. Pussetto'],[],Sarmiento,Arsenal de Sarandí
1165,[],['I. Pillud'],Sarmiento,Arsenal de Sarandí
1166,[],['D. González'],Sarmiento,Arsenal de Sarandí
1168,['L. Rolón'],[],Sarmiento,Arsenal de Sarandí
1174,[],['Y. Cabral'],Sarmiento,Arsenal de Sarandí
1175,['N. Miracco'],[],Sarmiento,Arsenal de Sarandí
1179,[],['L. Carrizo'],Sarmiento,Arsenal de Sarandí
1182,[],['Nico Aguirre'],Sarmiento,Arsenal de Sarandí
